NIK,Nama,Jumlah,Periode,Tanggal
3201010101010001,Budi Santoso,100000,2024-11,2024-11-18
3201010101010002,Siti Aminah,100000,2024-11,2024-11-18
3201010101010003,Ahmad Yani,100000,2024-11,2024-11-18
3201010101010004,Dewi Lestari,100000,2024-11,2024-11-18
3201010101010005,Eko Prasetyo,100000,2024-11,2024-11-18
3201010101010006,Fitri Handayani,100000,2024-11,2024-11-18
3201010101010007,Gunawan Wijaya,100000,2024-11,2024-11-18
3201010101010008,Hendra Kusuma,100000,2024-11,2024-11-18
3201010101010009,Indah Permata,100000,2024-11,2024-11-18
3201010101010010,Joko Susilo,100000,2024-11,2024-11-18
