NIK,Nama,Jumlah,Tanggal
3201010101010001,Budi Santoso,1000000,2024-01-15
3201010101010002,Siti Aminah,1000000,2024-01-15
3201010101010003,Ahmad Hidayat,1500000,2024-01-15
3201010101010004,Dewi Lestari,1000000,2024-01-15
3201010101010005,Eko Prasetyo,2000000,2024-01-15
3201010101010006,Rina Wati,1000000,2024-01-15
3201010101010007,Joko Susilo,1200000,2024-01-15
3201010101010008,Maya Sari,1000000,2024-01-15
3201010101010009,Hendra Gunawan,1800000,2024-01-15
3201010101010010,Fitri Handayani,1000000,2024-01-15
