NIK,Nama,Jumlah,Periode,Tanggal
3201010101010001,Budi Santoso,100000,2024-10,2024-10-18
3201010101010002,Siti Aminah,100000,2024-10,2024-10-18
3201010101010003,Ahmad Hidayat,150000,2024-10,2024-10-18
3201010101010004,Dewi Lestari,100000,2024-10,2024-10-18
3201010101010005,Eko Prasetyo,200000,2024-10,2024-10-18
3201010101010006,Rina Wati,100000,2024-10,2024-10-18
3201010101010007,Joko Susilo,120000,2024-10,2024-10-18
3201010101010008,Maya Sari,100000,2024-10,2024-10-18
3201010101010009,Hendra Gunawan,180000,2024-10,2024-10-18
3201010101010010,Fitri Handayani,100000,2024-10,2024-10-18
